PULocationID,predict_hour,pred_rides,hour,dow,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,lag_1,lag_2,lag_3,lag_24,roll_mean_3,roll_mean_6,roll_mean_24,roll_std_3,roll_std_6,roll_std_24,lstm_pred_rides,LocationID,Borough,Zone,rank_overall
138,2025-08-01,0.641353,0,4,0,0.0,1.0,-0.433883739117558,-0.900968867902419,132.0,152.0,160.0,191.0,148.0,131.0,81.83333333333333,14.422205101855956,26.55560204551951,55.142240312365495,0.0,138.0,Queens,LaGuardia Airport,1
132,2025-08-01,0.4627081,0,4,0,0.0,1.0,-0.433883739117558,-0.900968867902419,98.0,96.0,133.0,132.0,109.0,108.66666666666669,63.458333333333336,20.808652046684813,19.73490984693537,36.95353035634216,0.0,132.0,Queens,JFK Airport,2
230,2025-08-01,0.39148605,0,4,0,0.0,1.0,-0.433883739117558,-0.900968867902419,89.0,124.0,105.0,78.0,106.0,87.66666666666667,56.958333333333336,17.52141546793523,28.232369129541127,27.557811433684147,0.0,230.0,Manhattan,Times Sq/Theatre District,3
79,2025-08-01,0.35948318,0,4,0,0.0,1.0,-0.433883739117558,-0.900968867902419,84.0,87.0,88.0,44.0,86.33333333333333,69.16666666666667,42.083333333333336,2.081665999466133,19.14593081222918,20.6963904995568,0.0,79.0,Manhattan,East Village,4
148,2025-08-01,0.32544276,0,4,0,0.0,1.0,-0.433883739117558,-0.900968867902419,76.0,89.0,60.0,63.0,75.0,62.16666666666666,40.708333333333336,14.52583904633395,18.19248929274569,22.869153644282445,0.0,148.0,Manhattan,Lower East Side,5
161,2025-08-01,0.32093617,0,4,0,0.0,1.0,-0.433883739117558,-0.900968867902419,89.0,101.0,153.0,56.0,114.33333333333331,108.0,65.0,34.01960219246153,24.8112877537624,40.46791536406396,0.0,161.0,Manhattan,Midtown Center,6
61,2025-08-01,0.30105668,0,4,0,0.0,1.0,-0.433883739117558,-0.900968867902419,69.0,74.0,74.0,45.0,72.33333333333333,74.33333333333333,57.75,2.8867513459481287,3.011090610836324,24.87403045958471,0.0,61.0,Brooklyn,Crown Heights North,7
249,2025-08-01,0.29304317,0,4,0,0.0,1.0,-0.433883739117558,-0.900968867902419,79.0,101.0,69.0,36.0,83.0,63.0,36.208333333333336,16.3707055437449,25.79922479455536,21.65736980029354,0.0,249.0,Manhattan,West Village,8
234,2025-08-01,0.28078604,0,4,0,0.0,1.0,-0.433883739117558,-0.900968867902419,64.0,114.0,100.0,57.0,92.66666666666669,80.16666666666667,52.5,25.79405616287081,21.535242433431453,27.63740376657188,0.0,234.0,Manhattan,Union Sq,9
231,2025-08-01,0.27292028,0,4,0,0.0,1.0,-0.433883739117558,-0.900968867902419,71.0,96.0,70.0,32.0,79.0,76.0,50.91666666666666,14.730919862656236,11.081516141756056,25.101388609894222,0.0,231.0,Manhattan,TriBeCa/Civic Center,10
